SOCIETE|SE|CHAINE_FINANCIERE|ANNEE_MOIS|OBSV|CATEGORIE_ENTREPRISE|CODE_DEPOT|LIBELLE_CODE_DEPOT|STATUT|LIBELLE_STATUT|CODE_APPLI|nbre|INDIC DEMAT|SE_LIBELLE
DEFE|D0410T7033|SCA-SC|2017-01|rien|-|-|-|-|-|CPP001|9|DEMAT_IND|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|-|-|-|-|-|CPP000|16|DEMAT_IND|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|-|-|-|-|-|-|24|HORS DEMAT|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|-|2|DEPOT_PDF_PORTAIL|19|MISE_EN_PAIEME|CPP001|10|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|-|2|DEPOT_PDF_PORTAIL|20|COMPTABILISEE|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|-|2|DEPOT_PDF_PORTAIL|19|MISE_EN_PAIEME|CPP001|4|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|-|0|SAISIE_PORTAIL|19|MISE_EN_PAIEME|CPP001|2|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|-|9|NUMERISATION|20|COMPTABILISEE|CPP001|4|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|-|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|5|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|-|9|NUMERISATION|19|MISE_EN_PAIEME|CPP001|26|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|-|9|NUMERISATION|19|MISE_EN_PAIEME|CPP001|13|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|-|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|1|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|ETI|-|-|-|-|CPP000|21|DEMAT_IND|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|ETI|-|-|-|-|CPP001|4|DEMAT_IND|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|ETI|-|-|-|-|-|56|HORS DEMAT|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|ETI|2|DEPOT_PDF_PORTAIL|19|MISE_EN_PAIEME|CPP001|2|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|ETI|0|SAISIE_PORTAIL|19|MISE_EN_PAIEME|CPP001|2|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|ETI|2|DEPOT_PDF_PORTAIL|19|MISE_EN_PAIEME|CPP001|57|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|ETI|2|DEPOT_PDF_PORTAIL|20|COMPTABILISEE|CPP001|7|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|ETI|2|DEPOT_PDF_PORTAIL|17|REJETEE|-|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|ETI|2|DEPOT_PDF_PORTAIL|17|REJETEE|CPP000|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|ETI|2|DEPOT_PDF_PORTAIL|14|MISE_A_DISPOSI|CPP001|2|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|ETI|2|DEPOT_PDF_PORTAIL|14|MISE_A_DISPOSI|CPP001|16|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|ETI|2|DEPOT_PDF_PORTAIL|20|COMPTABILISEE|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|ETI|6|EDI|19|MISE_EN_PAIEME|CPP001|13|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|ETI|0|SAISIE_PORTAIL|14|MISE_A_DISPOSI|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|ETI|2|DEPOT_PDF_PORTAIL|14|MISE_A_DISPOSI|CPP000|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|ETI|9|NUMERISATION|20|COMPTABILISEE|CPP001|4|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|ETI|9|NUMERISATION|19|MISE_EN_PAIEME|CPP001|4|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|ETI|9|NUMERISATION|14|MISE_A_DISPOSI|CPP000|3|NUMERISATION|PFAF SO
