niv1	niv2	niv3	libelle	name	size	madi	conso	blocage	dispo	prev	preenreg
PGM 0167			LiensNationArmée	PGM 0167	0.0	0.0	5913761.0	2130430.0	3.5720044E7	6056869.5	6870314.0
PGM 0167	BOP 0167-0074		DSNJ	BOP 0167-0074	0.0	7811093.0	2888937.8	0.0	4922155.5	3022538.8	3496812.2
PGM 0167	BOP 0167-0074	UO 0167-0074-DS01	DSNJ	UO 0167-0074-DS01	7810949.0	7810949.0	2888937.8	0.0	0.0	3022538.8	3496812.2
PGM 0167	BOP 0167-0074	Disponible	Disponible	0167-0074	144.0	0.0	0.0	0.0	144.0	0.0	0.0
PGM 0167	BOP 0167-0075		DPMA	BOP 0167-0075	0.0	1.478594E7	3024823.5	0.0	1.1761117E7	3034331.2	3373502.2
PGM 0167	BOP 0167-0075	UO 0167-0075-DM01	DPMA	UO 0167-0075-DM01	1.435817E7	1.435817E7	3024823.5	0.0	0.0	3034331.2	3373502.2
PGM 0167	BOP 0167-0075	Disponible	Disponible	0167-0075	427770.0	0.0	0.0	0.0	427770.0	0.0	0.0
PGM 0167	Blocage		Blocage	0167	2130430.0	0.0	0.0	2130430.0	0.0	0.0	0.0
PGM 0167	Disponible		Disponible	0167	1.9036772E7	0.0	0.0	0.0	1.9036772E7	0.0	0.0
PGM 0169			Reco&RépaCombattants	PGM 0169	0.0	0.0	1.68375296E9	6.8140344E7	5.6597747E8	1.68375296E9	1.68382566E9
PGM 0169	BOP 0169-0072		Réparation	BOP 0169-0072	0.0	1.73737869E9	1.6506807E9	0.0	8.6697984E7	1.6506807E9	1.65075341E9
PGM 0169	BOP 0169-0072	UO 0169-0072-RE01	Action sociale	UO 0169-0072-RE01	1.15276672E8	1.15276672E8	3.5348912E7	0.0	0.0	3.5348912E7	3.5403608E7
PGM 0169	BOP 0169-0072	UO 0169-0072-RE02	Pensions	UO 0169-0072-RE02	1.62190797E9	1.62190797E9	1.61533184E9	0.0	0.0	1.61533184E9	1.61534976E9
PGM 0169	BOP 0169-0072	Disponible	Disponible	0169-0072	194000.56	0.0	0.0	0.0	194000.56	0.0	0.0
PGM 0169	BOP 0169-0075		Reconnaissance	BOP 0169-0075	0.0	6.122968E7	3.30722E7	0.0	2.815748E7	3.30722E7	3.30722E7
PGM 0169	BOP 0169-0075	UO 0169-0075-RE01	DPMA	UO 0169-0075-RE01	6.122968E7	6.122968E7	3.30722E7	0.0	0.0	3.30722E7	3.30722E7
PGM 0169	Blocage		Blocage	0169	6.8140344E7	0.0	0.0	6.8140344E7	0.0	0.0	0.0
PGM 0169	Disponible		Disponible	0169	4.51121984E8	0.0	0.0	0.0	4.51121984E8	0.0	0.0
