niv1	niv2	niv3	libelle	name	size	madi	conso	blocage	dispo	prev	preenreg
PGM 0144			Envir.Prospec.Pol.Défense	PGM 0144	0.0	0.0	5.28168512E8	2.712578E7	8.3442451E8	5.5863693E8	5.7225574E8
PGM 0144	BOP 0144-0001		Dir. gén. des rel. Intl .et de la strat.	BOP 0144-0001	0.0	5.072094E7	1.7059514E7	0.0	3.3661424E7	1.712013E7	1.813981E7
PGM 0144	BOP 0144-0001	UO 0144-0001-DG01	Dir. Gén. des rel. intl. et de la strat.	UO 0144-0001-DG01	5.029958E7	5.029958E7	1.6964822E7	0.0	0.0	1.7022176E7	1.8041614E7
PGM 0144	BOP 0144-0001	UO 0144-0001-DG02	Institut de rech. strat.de l'École mil.	UO 0144-0001-DG02	417100.0	417100.0	94691.62	0.0	0.0	97953.8	98196.61
PGM 0144	BOP 0144-0001	Disponible	Disponible	0144-0001	4261.0	0.0	0.0	0.0	4261.0	0.0	0.0
PGM 0144	BOP 0144-0002		BCAC-CG	BOP 0144-0002	0.0	2.83785216E8	9.7186368E7	0.0	1.86598848E8	9.8339176E7	9.9448136E7
PGM 0144	BOP 0144-0002	UO 0144-0002-DG02	BCAC-CG METIER	UO 0144-0002-DG02	2.83784928E8	2.83784928E8	9.7186368E7	0.0	0.0	9.8339176E7	9.9448136E7
PGM 0144	BOP 0144-0002	Disponible	Disponible	0144-0002	290.0	0.0	0.0	0.0	290.0	0.0	0.0
PGM 0144	BOP 0144-0003		DRSD	BOP 0144-0003	0.0	1.3558632E7	4078217.2	0.0	9480415.0	4687134.0	4742443.5
PGM 0144	BOP 0144-0003	UO 0144-0003-DP02	SOUTIEN	UO 0144-0003-DP02	1.3558632E7	1.3558632E7	4078217.2	0.0	0.0	4687134.0	4742443.5
PGM 0144	BOP 0144-0055		DGA	BOP 0144-0055	0.0	9.9353402E8	4.02958368E8	0.0	5.9057568E8	4.3098336E8	4.42129184E8
PGM 0144	BOP 0144-0055	UO 0144-0055-DG02	SRTS - EA	UO 0144-0055-DG02	3.7E8	3.7E8	2.72741344E8	0.0	0.0	3.00766336E8	3.1191216E8
PGM 0144	BOP 0144-0055	UO 0144-0055-DG03	SRTS - Subventions	UO 0144-0055-DG03	1.7E8	1.7E8	1.30217E8	0.0	0.0	1.30217E8	1.30217E8
PGM 0144	BOP 0144-0055	Disponible	Disponible	0144-0055	4.53534048E8	0.0	0.0	0.0	4.53534048E8	0.0	0.0
PGM 0144	BOP 0144-0063		EMA	BOP 0144-0063	0.0	2.0994192E7	6886058.5	0.0	1.4108134E7	7507159.5	7796215.5
PGM 0144	BOP 0144-0063	UO 0144-0063-EM04	EOTO	UO 0144-0063-EM04	2.0994192E7	2.0994192E7	6886058.5	0.0	0.0	7507159.5	7796215.5
PGM 0144	Blocage		Blocage	0144	2.712578E7	0.0	0.0	2.712578E7	0.0	0.0	0.0
PGM 0146			Équipement des forces	PGM 0146	0.0	0.0	3.75288832E9	3.57489248E8	6.1525356E9	4.3696609E9	4.6974874E9
PGM 0146	BOP 0146-0005		DGA	BOP 0146-0005	0.0	1.5559536E8	7.8879584E7	0.0	7.6715768E7	8.6140496E7	9.0087592E7
PGM 0146	BOP 0146-0005	UO 0146-0005-DG01	DGA Fonctionnement	UO 0146-0005-DG01	4.7095356E7	4.7095356E7	2.2596236E7	0.0	0.0	2.5440098E7	2.6626356E7
PGM 0146	BOP 0146-0005	UO 0146-0005-DG02	DGA Investissements autres	UO 0146-0005-DG02	3500000.0	3500000.0	1528378.9	0.0	0.0	1681443.9	1850482.2
